ID,Title,Difficulty,Tags,AcceptanceRate
1,"Two Sum",Easy,"Array;Hash Table",55.6
2,"Add Two Numbers",Medium,"Linked List;Math;Recursion",46.0
3,"Longest Substring Without Repeating Characters",Medium,"Hash Table;String;Sliding Window",36.8
4,"Median of Two Sorted Arrays",Hard,"Array;Binary Search;Divide and Conquer",43.6
5,"Longest Palindromic Substring",Medium,"String;Dynamic Programming",35.7
6,"Zigzag Conversion",Medium,"String",51.4
7,"Reverse Integer",Medium,"Math",30.2
8,"String to Integer (atoi)",Medium,"String;Math",19.1
9,"Palindrome Number",Easy,"Math",59.1
11,"Container With Most Water",Medium,"Array;Two Pointers;Greedy",57.6
12,"Integer to Roman",Medium,"Hash Table;Math;String",68.4
13,"Roman to Integer",Easy,"Hash Table;Math;String",64.7
14,"Longest Common Prefix",Easy,"String;Trie",45.3
15,"3Sum",Medium,"Array;Two Pointers;Sorting",36.9
16,"3Sum Closest",Medium,"Array;Two Pointers;Sorting",46.8
17,"Letter Combinations of a Phone Number",Medium,"Hash Table;String;Backtracking",63.7
18,"4Sum",Medium,"Array;Two Pointers;Sorting;Hash Table",38.0
19,"Remove Nth Node From End of List",Medium,"Linked List;Two Pointers",48.7
20,"Valid Parentheses",Easy,"String;Stack",42.2
21,"Merge Two Sorted Lists",Easy,"Linked List;Recursion",66.7
22,"Generate Parentheses",Medium,"String;Dynamic Programming;Backtracking",77.0
23,"Merge k Sorted Lists",Hard,"Linked List;Divide and Conquer;Heap (Priority Queue);Merge Sort",56.5
24,"Swap Nodes in Pairs",Medium,"Linked List;Recursion",67.0
25,"Reverse Nodes in k-Group",Hard,"Linked List;Recursion",62.8
26,"Remove Duplicates from Sorted Array",Easy,"Array;Two Pointers",60.1
27,"Remove Element",Easy,"Array;Two Pointers",59.9
28,"Find the Index of the First Occurrence in a String",Easy,"Two Pointers;String;String Matching",44.8
29,"Divide Two Integers",Medium,"Math;Bit Manipulation",18.3
31,"Next Permutation",Medium,"Array;Two Pointers",42.9
32,"Longest Valid Parentheses",Hard,"String;Dynamic Programming;Stack",36.2
33,"Search in Rotated Sorted Array",Medium,"Array;Binary Search",42.7
34,"Find First and Last Position of Element in Sorted Array",Medium,"Array;Binary Search",46.6
35,"Search Insert Position",Easy,"Array;Binary Search",48.8
36,"Valid Sudoku",Medium,"Array;Hash Table;Matrix",62.1
38,"Count and Say",Medium,"String;Recursion",60.3
39,"Combination Sum",Medium,"Array;Backtracking",74.5
40,"Combination Sum II",Medium,"Array;Backtracking;Sorting",57.5
41,"First Missing Positive",Hard,"Array;Hash Table",41.0
42,"Trapping Rain Water",Hard,"Array;Two Pointers;Dynamic Programming;Stack;Monotonic Stack",64.9
45,"Jump Game II",Medium,"Array;Dynamic Programming;Greedy",41.4
46,"Permutations",Medium,"Array;Backtracking",80.5
47,"Permutations II",Medium,"Array;Backtracking;Sorting",61.4
48,"Rotate Image",Medium,"Array;Math;Matrix",77.7
49,"Group Anagrams",Medium,"Array;Hash Table;String;Sorting",70.8
50,"Pow(x, n)",Medium,"Math;Recursion;Binary Exponentiation",36.9
51,"N-Queens",Hard,"Array;Backtracking",72.5
53,"Maximum Subarray",Medium,"Array;Divide and Conquer;Dynamic Programming",52.0
54,"Spiral Matrix",Medium,"Array;Matrix;Simulation",53.7
55,"Jump Game",Medium,"Array;Dynamic Programming;Greedy",39.4
56,"Merge Intervals",Medium,"Array;Sorting",49.2
